lhs,rhs,seed_42_difference,seed_1234_difference,seed_2026_difference,mean_difference,sample_std,t_95_ci_low,t_95_ci_high
reinforce_plus_plus,grpo,0.0009765625,-0.0244140625,-0.0400390625,-0.02115885417,0.02070066809,-0.07258216444,0.0302644561
reinforce_plus_plus_baseline,grpo,-0.0146484375,-0.0009765625,0.0048828125,-0.003580729167,0.01002265906,-0.02847839451,0.02131693618
reinforce_plus_plus,reinforce_plus_plus_baseline,0.015625,-0.0234375,-0.044921875,-0.017578125,0.03069576884,-0.09383064197,0.05867439197
