algorithm,label,seed,training_job,slurm_state,steps,elapsed_seconds,gpu_name,gpu_peak_memory_mib,gpu_mean_utilization_pct,gpu_busy_mean_utilization_pct,raw_reward_final,raw_reward_last10_mean,raw_reward_all50_mean,loss_final,loss_last10_mean,loss_all50_mean,pg_loss_final,pg_loss_last10_mean,pg_loss_all50_mean,kl_loss_final,kl_loss_last10_mean,kl_loss_all50_mean,ppo_kl_final,ppo_kl_last10_mean,ppo_kl_all50_mean,grad_norm_final,grad_norm_last10_mean,grad_norm_all50_mean,advantage_mean_final,advantage_mean_last10_mean,advantage_mean_all50_mean,reinforce_pp_advantage_raw_mean_final,reinforce_pp_advantage_raw_mean_last10_mean,reinforce_pp_advantage_raw_mean_all50_mean,reinforce_pp_advantage_raw_std_final,reinforce_pp_advantage_raw_std_last10_mean,reinforce_pp_advantage_raw_std_all50_mean,reinforce_pp_advantage_normalized_mean_final,reinforce_pp_advantage_normalized_mean_last10_mean,reinforce_pp_advantage_normalized_mean_all50_mean,reinforce_pp_advantage_normalized_std_final,reinforce_pp_advantage_normalized_std_last10_mean,reinforce_pp_advantage_normalized_std_all50_mean,response_length_mean_final,response_length_mean_last10_mean,response_length_mean_all50_mean,truncated_ratio_final,truncated_ratio_last10_mean,truncated_ratio_all50_mean,step_time_final,step_time_last10_mean,step_time_all50_mean,response_tokens_per_second_final,response_tokens_per_second_last10_mean,response_tokens_per_second_all50_mean,effective_tokens_per_gpu_per_second_final,effective_tokens_per_gpu_per_second_last10_mean,effective_tokens_per_gpu_per_second_all50_mean
grpo,GRPO,42,937655,COMPLETED,50,3940,NVIDIA A40,35930,83.69387755,97.20888889,0.625,0.571875,0.54,7.394701242e-05,6.026960909e-05,2.750620405e-05,-1.11758709e-08,-3.352761269e-09,-5.774199963e-10,0.007396032102,0.006027048733,0.00275062034,0,0,0,1.047634006,1.154828268,1.031405174,1.11758709e-08,7.450580597e-10,-5.587935448e-11,,,,,,,,,,,,,797.90625,852.078125,895.76125,0.25,0.446875,0.530625,62.67871475,66.24726524,73.14974434,407.3631897,411.3338257,408.9550626,3859.819336,3838.318604,3870.962515
reinforce_plus_plus,REINFORCE++,42,937653,COMPLETED,50,4002,NVIDIA A40,36090,82.65954774,96.0540146,0.65625,0.565625,0.524375,-0.05759014934,-0.1007635549,-0.09004550628,-0.05759014934,-0.1007635549,-0.09004550628,,,,0,0,0,1.560467362,1.673559391,1.588517351,0.05759015679,0.1007635497,0.09004550945,0.608936429,0.5011822492,0.474923176,0.4787299931,0.4720405161,0.4606986243,0,0,0,1,1,1,856.8125,862.69375,905.6425,0.28125,0.459375,0.54375,67.76802063,67.39297485,74.37875496,404.5860901,409.544693,406.2671423,3902.942139,3867.370972,3889.699595
reinforce_plus_plus_baseline,REINFORCE++-baseline,42,937654,FAILED (post-training validator false positive; artifacts accepted),50,3995,NVIDIA A40,36000,84.28930818,97.25689405,0.375,0.546875,0.52625,-0.04962142929,-0.03125521149,-0.02224591216,-0.04967229813,-0.03130020704,-0.02226576738,0.005086694844,0.004499076656,0.001985535227,0,0,0,1.416363001,1.532423413,1.354204496,0.04967229068,0.03130020984,0.02226577075,-0.0156624075,-0.01113690934,-0.007961373008,0.3153147697,0.3498987854,0.3166321108,0,0,0,1,1,0.92,926.78125,882.85,912.445,0.5625,0.509375,0.573125,72.4372406,68.44118385,74.26567055,409.4165039,412.5994934,410.0263699,3934.142334,3883.76106,3889.622852
grpo,GRPO,1234,937657,COMPLETED,50,3957,NVIDIA A40,36044,83.53494282,96.11403509,0.5625,0.534375,0.518125,6.268359721e-05,5.642268807e-05,2.538724526e-05,-3.725290298e-09,-4.656612873e-10,-2.793967724e-10,0.006268620025,0.005642453535,0.002538792319,0,0,0,1.379919887,1.135582519,1.12187549,1.11758709e-08,1.396983862e-09,1.396983862e-09,,,,,,,,,,,,,901.59375,872.434375,903.226875,0.53125,0.5375,0.5525,70.22924042,67.49822769,73.49579254,410.8117981,413.4432312,410.286243,3898.95752,3848.874316,3869.544907
reinforce_plus_plus,REINFORCE++,1234,937680,COMPLETED,50,4008,NVIDIA A40,35972,82.86574655,95.85486212,0.53125,0.528125,0.50875,-0.0597165823,-0.1294992555,-0.09093547571,-0.0597165823,-0.1294992555,-0.09093547571,,,,0,0,0,1.568724871,1.718773031,1.601869936,0.059716627,0.1294992585,0.09093547231,0.4816106558,0.4507074237,0.4590601705,0.494803369,0.4678293318,0.4622947121,0,0,0,1,1,1,893.15625,863.890625,905.78,0.53125,0.521875,0.566875,69.72628021,67.53377075,74.50588211,409.902832,409.2154755,405.5766792,3899.674561,3860.16062,3893.072744
reinforce_plus_plus_baseline,REINFORCE++-baseline,1234,937656,COMPLETED,50,3952,NVIDIA A40,36160,84.09414758,97.20294118,0.59375,0.51875,0.53,-0.01572121307,-0.02267370261,-0.01993828511,-0.01578807086,-0.02272707131,-0.01996274997,0.006685904693,0.00533645805,0.002446363025,0,0,0,1.556147218,1.63171016,1.550662056,0.01578807458,0.02272706926,0.01996274617,-0.004448033404,-0.008270112704,-0.007502267007,0.2817338109,0.3448966116,0.3147313595,0,0,0,1,1,0.96,875.5625,869.11875,899.738125,0.375,0.49375,0.538125,67.92059326,67.02178574,73.39370773,412.5111389,414.9010986,409.3287219,3919.654053,3873.770557,3874.847134
grpo,GRPO,2026,937688,COMPLETED,50,3909,NVIDIA A40,36570,83.92149292,96.7462908,0.5625,0.51875,0.533125,6.803870201e-05,6.401613355e-05,2.853508324e-05,1.11758709e-08,1.490116119e-09,-1.862645149e-11,0.006803841796,0.006401608512,0.002853630128,0,0,0,1.474538565,1.211775279,1.237326173,-1.862645149e-09,-1.024454832e-09,2.421438694e-10,,,,,,,,,,,,,845.8125,839.13125,891.245625,0.375,0.45625,0.524375,65.32917023,64.63352127,72.55027451,414.3019409,414.9981628,410.1876625,3865.859375,3843.254639,3868.563379
reinforce_plus_plus,REINFORCE++,2026,937689,COMPLETED,50,4024,NVIDIA A40,36146,83.465,95.52503577,0.53125,0.546875,0.51,-0.07207797468,-0.1038741767,-0.08662075683,-0.07207797468,-0.1038741767,-0.08662075683,,,,0,0,0,1.493841648,1.712258053,1.632141418,0.07207792997,0.103874182,0.08662075907,0.4807460606,0.48324738,0.4630528657,0.4937944412,0.4503717095,0.4512292868,0,0,0,1,1,1,949.9375,860.684375,906.185,0.5625,0.496875,0.571875,74.50534821,67.55504456,74.79907272,407.9975586,407.4320251,404.1309821,3963.916992,3846.76582,3881.630166
reinforce_plus_plus_baseline,REINFORCE++-baseline,2026,937705,COMPLETED,50,3877,NVIDIA A40,36174,83.71206226,96.90990991,0.53125,0.5375,0.5475,0.006817186251,-0.01036012117,-0.02504714695,0.00671961531,-0.01044320564,-0.02508219132,0.009757881053,0.008308750857,0.003504457269,0,0,0,1.422234416,1.590019929,1.482013867,-0.006719611585,0.01044320334,0.02508218879,0.002097876044,-0.004573901894,-0.008963257258,0.3122022748,0.3458427101,0.3287510845,0,0,0,1,1,0.98,841.625,826.46875,878.4475,0.40625,0.4375,0.5075,65.89824677,63.96372185,71.86254623,408.6907043,413.0985992,408.3904947,3874.440186,3815.703003,3856.391938
